player_id,name,team_id,team_name,total_match,innings,total_runs,highest_run,average,not_out,strike_rate,ball_faced,batting_hand,4s,6s,50s,100s
29060499,Tabish Hasan,6591085,TSGN Mavericks,3,3,24,18,12.00,1,120.00,20,RHB,1,1,0,0
19037092,Satish Kumar,2204871,MSC Black Bears,3,3,24,13,12.00,1,100.00,24,RHB,2,0,0,0
5504524,Gnana Prakasam,6269379,TGS Rising Challengers,3,3,24,21,8.00,0,171.43,14,RHB,0,3,0,0
5457729,Moin,7444218,Mannschaft Ginnheimer,3,3,24,21,8.00,0,126.32,19,LHB,2,1,0,0
35998313,Dinesh Sai,10570905,TBG Neulusheim,5,4,24,18,6.00,0,68.57,35,RHB,1,1,0,0
3283009,Ashish Malode,7449958,Darebulls,1,1,23,23,23.00,0,143.75,16,RHB,3,1,0,0
19041512,Chakradhar Akkaldevi 15,3793721,Trebur Cricket Club,5,1,23,23,-,1,143.75,16,RHB,2,1,0,0
31976509,Razaa Darebulls,7449958,Darebulls,2,2,23,23,11.50,0,164.29,14,RHB,2,1,0,0
13489587,Gowthamraj,430654,Royal Strikers FFM,3,3,23,16,11.50,1,121.05,19,RHB,3,1,0,0
839464,Harender Gupta,7251731,KK Challengers,3,3,23,19,11.50,1,88.46,26,RHB,2,0,0,0
3278425,Nirmalbaskar,430654,Royal Strikers FFM,3,3,23,18,7.67,0,92.00,25,RHB,2,1,0,0
5475264,Srikanth Thorlikonda,7440693,TSV Darmstadt XI,5,3,23,14,11.50,1,88.46,26,RHB,2,0,0,0
12797724,Rakesh Kumar Sahoo,3793721,Trebur Cricket Club,6,3,23,14,23.00,2,153.33,15,RHB,2,1,0,0
27926874,Balaji Sevanan,6269379,TGS Rising Challengers,3,2,22,19,11.00,0,115.79,19,RHB,1,1,0,0
31631810,Akarsh H,1517508,Frankfurt Spartans Cricket Club,7,3,22,12,11.00,1,122.22,18,RHB,1,2,0,0
16483699,Shashank Bayari,10570905,TBG Neulusheim,5,4,22,19,7.33,1,137.50,16,RHB,2,1,0,0
38212866,Mayank Panchal,9390582,TSGN Royal Lions,8,4,22,21,11.00,2,110.00,20,LHB,1,2,0,0
41637587,Ved Sharma Private,6290732,TSV Frankfurt Garuda,3,3,21,17,10.50,1,100.00,21,RHB,2,0,0,0
20727167,Deepak Kumar Purseth,6591085,TSGN Mavericks,3,3,21,13,7.00,0,105.00,20,RHB,2,0,0,0
41554088,Keyur Chidambar Kulkarni,10472983,FCC Friends XI,5,4,21,16,5.25,0,95.45,22,RHB,1,0,0,0
25317603,Raghu Vinod,7440693,TSV Darmstadt XI,5,5,21,15,4.20,0,87.50,24,RHB,4,0,0,0
20710409,Jigar Rajeshkumar Modi,4220557,TSGN Royal Warriors,5,5,21,10,4.20,0,80.77,26,LHB,0,2,0,0
13504911,Muneeb Ullah,3793721,Trebur Cricket Club,3,2,20,14,10.00,0,181.82,11,RHB,0,2,0,0
16112617,Vishal,2623314,TSV Darmstadt United,3,2,20,20,10.00,0,117.65,17,RHB,0,2,0,0
22214133,Nikesh,7415125,Sulzbach XI,3,3,20,8,6.67,0,86.96,23,RHB,1,1,0,0
20338014,Tanmay Gorad,2623314,TSV Darmstadt United,6,5,20,12,5.00,1,95.24,21,LHB,1,1,0,0
38588536,Gopi Sampath,9495458,Wetzlar Super Kings,2,1,19,19,19.00,0,111.76,17,RHB,1,1,0,0
27927241,Rohan Kumar Rathi,430802,Tgs Indian Challengers,3,1,19,19,19.00,0,158.33,12,RHB,1,2,0,0
29843187,Tushar Lalingkar,2204871,MSC Black Bears,3,1,19,19,-,1,126.67,15,RHB,2,0,0,0
39645506,Kevin C,10736341,Kassel Cricket Club,2,2,19,16,-,2,86.36,22,RHB,0,0,0,0
38583870,Narayana Chandram,9495458,Wetzlar Super Kings,3,2,19,16,-,2,100.00,19,RHB,0,1,0,0
31710212,Karthik Kasula,7437045,Hawk Hunters,6,3,19,16,9.50,1,82.61,23,RHB,2,0,0,0
27934716,Balaji Krishna Murthy,6269379,TGS Rising Challengers,2,1,18,18,-,1,90.00,20,RHB,1,0,0,0
42082351,Varun Vegesna,9495458,Wetzlar Super Kings,3,2,18,18,18.00,1,138.46,13,RHB,2,1,0,0
31976623,Asad Shinwari,2114868,SVS Frankfurt Eagles,2,2,17,17,8.50,0,130.77,13,RHB,0,2,0,0
5655236,Syed Khalander Pasha,4220557,TSGN Royal Warriors,2,2,17,9,8.50,0,100.00,17,LHB,1,1,0,0
3279017,Kolla,7440693,TSV Darmstadt XI,5,2,17,11,8.50,0,141.67,12,RHB,2,0,0,0
3173352,Rakesh Thimmegowda,430654,Royal Strikers FFM,3,3,17,11,5.67,0,121.43,14,RHB,1,1,0,0
4655513,Smeet Shah,7356382,SPVGG Dragons,3,3,17,16,5.67,0,85.00,20,LHB,0,2,0,0
38454336,Pankaj Sharma,9461015,Ingelheim Cricket Club,3,3,17,12,5.67,0,85.00,20,RHB,3,0,0,0
5478464,Tom Thomas,1517508,Frankfurt Spartans Cricket Club,5,4,17,12,4.25,0,54.84,31,RHB,1,1,0,0
29061009,Susheel Amingad,7356382,SPVGG Dragons,3,1,16,16,16.00,0,106.67,15,RHB,3,0,0,0
39637468,Arun Yadav,10736341,Kassel Cricket Club,3,2,16,9,16.00,1,145.45,11,RHB,2,0,0,0
3323501,Pradeep,430654,Royal Strikers FFM,3,2,16,11,8.00,0,55.17,29,RHB,0,0,0,0
38454397,Anurag,9461015,Ingelheim Cricket Club,2,2,15,12,7.50,0,107.14,14,RHB,2,0,0,0
28329910,Irfan Muhammad,7449958,Darebulls,3,2,15,15,7.50,0,93.75,16,RHB,2,0,0,0
31708543,Hamid Shah,806595,Juggernaut Cricket Club,3,1,14,14,14.00,0,100.00,14,RHB,1,1,0,0
5630601,Sunil Patil,2204871,MSC Black Bears,3,2,14,12,7.00,0,107.69,13,RHB,3,0,0,0
4871145,Lalit Sharma,806595,Juggernaut Cricket Club,3,2,14,8,7.00,0,73.68,19,RHB,1,0,0,0
31510876,Keshav Rao,7356382,SPVGG Dragons,5,2,14,14,14.00,1,93.33,15,RHB,2,0,0,0
41554064,Adel Zadran,10472983,FCC Friends XI,5,2,14,11,7.00,0,140.00,10,RHB,0,1,0,0
31697606,Raju Lama,7436670,Giessener 11,3,3,14,12,7.00,1,127.27,11,RHB,0,1,0,0
23394182,Prasad Bolishetti,7415125,Sulzbach XI,3,3,14,7,4.67,0,116.67,12,LHB,0,2,0,0
38477826,Mahendra Dewasi,9461015,Ingelheim Cricket Club,3,3,14,10,4.67,0,77.78,18,RHB,1,0,0,0
38588759,Lokesh Mani,9495458,Wetzlar Super Kings,3,3,14,7,4.67,0,70.00,20,RHB,0,1,0,0
41889849,Ahsan Bhalli New,8001451,Dietzenbacher Cricket Star,6,4,14,8,3.50,0,48.28,29,RHB,0,0,0,0
41949603,Sonu Das,7449958,Darebulls,1,1,13,13,13.00,0,260.00,5,RHB,0,2,0,0
5384487,Ramesh Madathil,7251731,KK Challengers,2,2,13,10,13.00,1,76.47,17,RHB,1,0,0,0
12798662,Vasanth Ramar,7424272,Freizeit CC,2,2,13,8,6.50,0,76.47,17,RHB,1,0,0,0
5655194,Nitin,6290732,TSV Frankfurt Garuda,3,3,13,7,6.50,1,76.47,17,RHB,2,0,0,0
27923553,Dayakar Reddy Bayyam,6290732,TSV Frankfurt Garuda,3,3,13,8,4.33,0,54.17,24,RHB,1,0,0,0
32060912,Naqash Naveed,10472983,FCC Friends XI,2,2,12,8,6.00,0,109.09,11,LHB,0,1,0,0
31068747,Deepak Bhardwaj,7424272,Freizeit CC,2,2,12,9,6.00,0,63.16,19,RHB,1,0,0,0
32837674,Abhishek Krishnamurthy,10570905,TBG Neulusheim,3,2,12,8,12.00,1,109.09,11,RHB,2,0,0,0
31639944,Kuldeep G,430802,Tgs Indian Challengers,3,2,12,10,12.00,1,100.00,12,RHB,0,1,0,0
22213510,Vishvajeet Tandale,7415125,Sulzbach XI,3,2,12,11,6.00,0,70.59,17,RHB,1,0,0,0
38510936,Raghunath Reddy Y,7392287,DCC Rising Stars,4,2,12,12,6.00,0,63.16,19,RHB,1,0,0,0
14141187,Sai,10570905,TBG Neulusheim,5,2,12,8,-,2,171.43,7,RHB,0,1,0,0
20800224,Parth Patel,4220557,TSGN Royal Warriors,3,3,12,11,6.00,1,133.33,9,RHB,0,1,0,0
37593419,Shivam Salunkhe,2623314,TSV Darmstadt United,6,4,12,6,4.00,1,92.31,13,RHB,0,1,0,0
42533489,Bhargav Boddapati,7251731,KK Challengers,3,1,11,11,11.00,0,84.62,13,RHB,1,0,0,0
13294628,Sreejith Sreedharan Nair,1517508,Frankfurt Spartans Cricket Club,4,1,11,11,11.00,0,91.67,12,RHB,0,0,0,0
23968376,Prashashth,10570905,TBG Neulusheim,2,2,11,10,5.50,0,100.00,11,RHB,0,1,0,0
31921448,Raghavan Sivaraj,3793721,Trebur Cricket Club,6,2,11,10,11.00,1,91.67,12,RHB,1,0,0,0
19059367,Atta Ul Quddoos,7437045,Hawk Hunters,6,2,11,9,5.50,0,137.50,8,RHB,0,1,0,0
38463324,Amruth,9461015,Ingelheim Cricket Club,3,3,11,11,11.00,2,183.33,6,RHB,0,1,0,0
42439423,Mohsin Khan,7444218,Mannschaft Ginnheimer,3,3,11,8,5.50,1,57.89,19,RHB,0,0,0,0
33447675,Arun Lawrence,7989971,Mainz Cricket Club,5,3,11,6,3.67,0,52.38,21,RHB,0,0,0,0
21938341,Roshan,7415125,Sulzbach XI,1,1,10,10,10.00,0,125.00,8,RHB,2,0,0,0
23467716,Anuram Thiru,7424272,Freizeit CC,2,2,10,9,10.00,1,125.00,8,RHB,1,0,0,0
42342907,Amit Maurya,7424272,Freizeit CC,2,2,10,6,5.00,0,142.86,7,LHB,1,0,0,0
22141206,Karthik Chickel,7415125,Sulzbach XI,3,2,10,9,10.00,1,111.11,9,RHB,1,0,0,0
38218709,Chirag Kankariya,9390582,TSGN Royal Lions,3,2,10,6,10.00,1,100.00,10,RHB,0,1,0,0
5630537,Chandrasekharan Rajendran,430654,Royal Strikers FFM,3,2,10,9,5.00,0,50.00,20,RHB,1,0,0,0
31639860,Kaushik Sekar,7392287,DCC Rising Stars,5,2,10,8,5.00,0,76.92,13,RHB,1,0,0,0
3335835,Omkar Pai,9390582,TSGN Royal Lions,5,3,10,5,10.00,2,142.86,7,RHB,2,0,0,0
38705667,Jibin Joychan,7436670,Giessener 11,6,3,10,8,5.00,1,76.92,13,LHB,1,0,0,0
31976073,Srinivas Akkineni,7356382,SPVGG Dragons,7,3,10,6,3.33,0,90.91,11,RHB,1,0,0,0
31718387,Shivanand Khobanna,7444345,RCB Cricket Club Ruesselsheim,5,4,10,8,5.00,2,90.91,11,RHB,1,0,0,0
31719408,Ali Naveed,7444218,Mannschaft Ginnheimer,3,1,9,9,9.00,0,150.00,6,RHB,2,0,0,0
33418411,Ramesh Raveendran,7989971,Mainz Cricket Club,2,2,9,5,9.00,1,90.00,10,RHB,0,0,0,0
28385132,Zahidullah Zadran,2114868,SVS Frankfurt Eagles,2,2,9,6,4.50,0,180.00,5,RHB,0,1,0,0
38746393,Varun Gada,7449958,Darebulls,2,2,9,5,4.50,0,100.00,9,LHB,2,0,0,0
41670907,Selvakumar Ramalingam,10472983,FCC Friends XI,3,2,9,9,9.00,1,100.00,9,RHB,0,0,0,0
22378241,Raju Palakurla,4674227,BlueWings,3,2,9,9,9.00,1,69.23,13,RHB,1,0,0,0
27926888,Vaishnav Tummuru,10736341,Kassel Cricket Club,3,2,9,9,4.50,0,60.00,15,RHB,0,1,0,0
41679047,Sobin,6591085,TSGN Mavericks,3,2,9,9,4.50,0,52.94,17,RHB,0,0,0,0
42360266,Abhi B,9495458,Wetzlar Super Kings,3,2,9,7,4.50,0,45.00,20,RHB,0,0,0,0
20843255,Harsh Patel,4220557,TSGN Royal Warriors,5,2,9,5,-,2,128.57,7,RHB,2,0,0,0
20711188,Hemant Patil,4220557,TSGN Royal Warriors,5,4,9,5,2.25,0,56.25,16,RHB,1,0,0,0
22151941,Arun Periyasamy,7415125,Sulzbach XI,3,1,8,8,8.00,0,114.29,7,RHB,1,0,0,0
38454400,Lokesh,9461015,Ingelheim Cricket Club,3,1,8,8,8.00,0,47.06,17,RHB,1,0,0,0
31705966,Aniket Chatterjee,430802,Tgs Indian Challengers,3,1,8,8,-,1,88.89,9,RHB,0,0,0,0
29063790,Manoj Kumar,7356382,SPVGG Dragons,3,1,8,8,-,1,72.73,11,RHB,1,0,0,0
11059267,Abhilash,7440693,TSV Darmstadt XI,5,1,8,8,8.00,0,266.67,3,RHB,2,0,0,0
38989616,Prasanna Kumar Reddy N,2623314,TSV Darmstadt United,6,1,8,8,8.00,0,100.00,8,RHB,0,0,0,0
3278086,Dhananjay Shellikeri,9390582,TSGN Royal Lions,8,1,8,8,-,1,88.89,9,RHB,0,0,0,0
42306185,Upendra Atre,7424272,Freizeit CC,2,2,8,7,4.00,0,72.73,11,LHB,0,0,0,0
38577860,Shivanand Durge,9495458,Wetzlar Super Kings,3,2,8,8,4.00,0,66.67,12,RHB,1,0,0,0
42206079,Yogesh Rade,9495458,Wetzlar Super Kings,3,2,8,6,4.00,0,57.14,14,RHB,0,0,0,0
33436899,Peter Paul,7989971,Mainz Cricket Club,5,2,8,7,4.00,0,57.14,14,RHB,0,0,0,0
3085906,Gokul,7444345,RCB Cricket Club Ruesselsheim,3,3,8,8,8.00,2,114.29,7,RHB,0,1,0,0
578529,Vinod Iyer,6269379,TGS Rising Challengers,3,3,8,7,4.00,1,72.73,11,LHB,1,0,0,0
38576790,Sameer Sawant,9495458,Wetzlar Super Kings,3,3,8,4,2.67,0,57.14,14,RHB,0,0,0,0
31649154,Smruti Ranjan Panda,7437045,Hawk Hunters,8,4,8,4,4.00,2,100.00,8,RHB,1,0,0,0
31707540,Shashank Chalak,7436670,Giessener 11,6,6,8,5,2.67,3,57.14,14,RHB,0,0,0,0
29060483,Arslan Bhatti,6591085,TSGN Mavericks,1,1,7,7,7.00,0,77.78,9,RHB,0,0,0,0
9332441,Indrajit,7251731,KK Challengers,1,1,7,7,7.00,0,70.00,10,RHB,0,0,0,0
9642710,Suhash,10472983,FCC Friends XI,2,1,7,7,7.00,0,58.33,12,RHB,0,0,0,0
31717293,Sudhanshu Kumar,7356382,SPVGG Dragons,2,1,7,7,7.00,0,46.67,15,RHB,0,0,0,0
28727397,Imtiaz Kh,2114868,SVS Frankfurt Eagles,2,2,7,7,3.50,0,100.00,7,RHB,0,1,0,0
31706379,Firoz Khan,6269379,TGS Rising Challengers,3,2,7,6,7.00,1,63.64,11,RHB,0,0,0,0
3279430,Darshan Parameswara,430802,Tgs Indian Challengers,3,2,7,5,7.00,1,53.85,13,RHB,0,0,0,0
41959501,Sriram Karanam,7356382,SPVGG Dragons,7,2,7,6,7.00,1,70.00,10,LHB,1,0,0,0
14029930,Chiranjeevi V,7449958,Darebulls,3,3,7,3,3.50,1,70.00,10,RHB,0,0,0,0
22371420,Ravi Gangula Dbag,4674227,BlueWings,3,3,7,5,3.50,1,70.00,10,RHB,1,0,0,0
42291242,Chinmay Dsouza,10736341,Kassel Cricket Club,3,3,7,5,3.50,1,58.33,12,RHB,1,0,0,0
2280619,Rohit Baghel,7449958,Darebulls,3,3,7,6,2.33,0,87.50,8,RHB,0,1,0,0
16056824,Jashan Singh,2204871,MSC Black Bears,3,3,7,4,2.33,0,70.00,10,RHB,1,0,0,0
5828523,Kuncham Manojkumar,6290732,TSV Frankfurt Garuda,3,3,7,6,2.33,0,58.33,12,RHB,1,0,0,0
31399720,Ehtasham Ul Hassan,7444218,Mannschaft Ginnheimer,3,3,7,5,2.33,0,46.67,15,RHB,0,0,0,0
574869,Anubhav,3793721,Trebur Cricket Club,6,5,7,6,2.33,2,58.33,12,RHB,1,0,0,0
1973378,Satendra Chaudhary,806595,Juggernaut Cricket Club,1,1,6,6,6.00,0,100.00,6,RHB,0,1,0,0
32108927,Vivek Singh,6591085,TSGN Mavericks,2,1,6,6,-,1,75.00,8,RHB,0,0,0,0
28329954,Bilal Hazrat,8001451,Dietzenbacher Cricket Star,3,1,6,6,6.00,0,150.00,4,RHB,0,1,0,0
31692655,Abdul Ghaffar,2623314,TSV Darmstadt United,3,1,6,6,6.00,0,120.00,5,RHB,1,0,0,0
7439114,Vineeth Bhat,10570905,TBG Neulusheim,2,2,6,6,6.00,1,85.71,7,LHB,1,0,0,0
20710655,Shrenik Jain,4220557,TSGN Royal Warriors,2,2,6,3,6.00,1,60.00,10,RHB,0,0,0,0
11422545,Vijay Gurram,7415125,Sulzbach XI,3,2,6,4,3.00,0,54.55,11,RHB,0,0,0,0
22371480,Siva Tumpala,4674227,BlueWings,3,2,6,5,3.00,0,50.00,12,RHB,0,0,0,0
22935420,Valan,4674227,BlueWings,3,2,6,6,3.00,0,50.00,12,RHB,0,0,0,0
32100774,Santosh Sharma,806595,Juggernaut Cricket Club,3,2,6,5,3.00,0,46.15,13,RHB,1,0,0,0
42122833,Taimour Yousuf,7444218,Mannschaft Ginnheimer,3,2,6,4,3.00,0,42.86,14,RHB,0,0,0,0
32031834,Selvaraj Kanniyan,430654,Royal Strikers FFM,3,2,6,5,-,2,150.00,4,RHB,1,0,0,0
2468416,Sandeep Ek,1517508,Frankfurt Spartans Cricket Club,3,2,6,4,-,2,85.71,7,RHB,0,0,0,0
31742127,Sudheer Vasamshetty,430654,Royal Strikers FFM,3,3,6,4,3.00,1,50.00,12,RHB,0,0,0,0
31719426,Matih Ullah,7444218,Mannschaft Ginnheimer,3,3,6,5,2.00,0,46.15,13,RHB,0,0,0,0
31826985,Vamsidhar Mannam,6290732,TSV Frankfurt Garuda,3,3,6,3,2.00,0,40.00,15,RHB,0,0,0,0
38454368,Rajat Jena,9461015,Ingelheim Cricket Club,3,3,6,5,2.00,0,40.00,15,RHB,1,0,0,0
16115282,Shamil,7251731,KK Challengers,4,3,6,6,3.00,1,46.15,13,RHB,1,0,0,0
38454371,Hrushikesh Dandekar,9461015,Ingelheim Cricket Club,1,1,5,5,5.00,0,100.00,5,RHB,1,0,0,0
28523657,Nikhil Narottam,6269379,TGS Rising Challengers,1,1,5,5,5.00,0,83.33,6,RHB,1,0,0,0
20848174,Nikunj Prajapati,4220557,TSGN Royal Warriors,1,1,5,5,-,1,125.00,4,RHB,0,0,0,0
19192429,Manikanteswar Reddy Goluguri,7440693,TSV Darmstadt XI,3,1,5,5,5.00,0,100.00,5,RHB,0,0,0,0
19035994,Prateek Mahajan,2204871,MSC Black Bears,3,1,5,5,5.00,0,83.33,6,RHB,1,0,0,0
38843288,Tharun Ramvasan Vetri Selvan,430654,Royal Strikers FFM,3,1,5,5,5.00,0,62.50,8,RHB,0,0,0,0
42122802,Maaz Ahmed,7444218,Mannschaft Ginnheimer,3,1,5,5,-,1,62.50,8,RHB,0,0,0,0
22416987,Akash Patni,7251731,KK Challengers,2,2,5,5,2.50,0,55.56,9,RHB,1,0,0,0
29664080,Aditya Dwivedi,7251731,KK Challengers,2,2,5,5,2.50,0,55.56,9,RHB,1,0,0,0
42206112,Nishant Nigam,9495458,Wetzlar Super Kings,2,2,5,5,2.50,0,29.41,17,RHB,0,0,0,0
8451957,Rahul Agarwal,806595,Juggernaut Cricket Club,3,2,5,4,5.00,1,71.43,7,RHB,0,0,0,0
7418568,Ved Singh,2204871,MSC Black Bears,3,2,5,5,2.50,0,62.50,8,RHB,1,0,0,0
13764702,Ajay Kumar Holla,10570905,TBG Neulusheim,5,2,5,3,2.50,0,83.33,6,RHB,0,0,0,0
1168467,Sk,7440693,TSV Darmstadt XI,5,2,5,4,-,2,125.00,4,RHB,0,0,0,0
39646144,Vishal Jadav,6269379,TGS Rising Challengers,3,3,5,4,2.50,1,83.33,6,RHB,0,0,0,0
4500727,Charanpreet Singh,7251731,KK Challengers,5,3,5,4,1.67,0,50.00,10,RHB,0,0,0,0
20712849,Shubham Bhatt,4220557,TSGN Royal Warriors,5,4,5,2,1.25,0,31.25,16,RHB,0,0,0,0
41958053,Noshi Khaleed,10472983,FCC Friends XI,2,1,4,4,4.00,0,200.00,2,LHB,1,0,0,0
39958466,Bijeesh,7989971,Mainz Cricket Club,2,1,4,4,4.00,0,50.00,8,RHB,0,0,0,0
28007346,Allen Cutinha,7356382,SPVGG Dragons,2,1,4,4,-,1,100.00,4,RHB,0,0,0,0
42731005,Prabjot Singh,9390582,TSGN Royal Lions,3,1,4,4,4.00,0,50.00,8,RHB,0,0,0,0
2401173,Mithun Puthenkottupalliyil,430802,Tgs Indian Challengers,3,1,4,4,-,1,133.33,3,RHB,0,0,0,0
31646616,Abhishek Thula,7392287,DCC Rising Stars,4,1,4,4,-,1,133.33,3,RHB,0,0,0,0
